Season,Week,Team,Spread Value,Offensive Power Rating,Offensive Pass EPA,Offensive Rush EPA,Offensive Run Rate Over Expected (%),Offensive Eckel Rate Over Expected (%),Offensive Points/Eckel ,Offensive Starting Field Position,Offensive Weighted EPA,Offensive Success Rate (%),Defensive Power Rating,Defensive Pass EPA,Defensive Rush EPA,Defensive Run Rate Over Expected (%),Defensive Eckel Rate Over Expected (%),Defensive Points/Eckel ,Defensive Starting Field Position,Defensive Weighted EPA,Defensive Success Rate (%)
2024,3,Kentucky,2.08395,25.35003,-0.253948873,0.197118241,0.135115405,0.088253584,3.428571429,77,1.823572046,0.427184466,23.26608,0.203844173,-0.264239849,0.325622441,-0.074038425,4.2,70.875,-1.967522404,0.320987654
2024,3,Liberty,7.30359,32.57071,0.395554102,0.299698378,0.034323208,0.257855879,4.153846154,77.75,2.860343243,0.463768116,25.26712,0.338609045,-0.078863574,10.39830778,-0.019557107,5.857142857,73.42857143,-0.952906503,0.351351351
2024,2,Louisiana,13.57932,36.28763,0.418542812,0.383232148,-0.087848238,0.458281222,5,74.77777778,3.90545799,0.536585366,22.70831,0.043286285,0.006744347,10.71314225,-0.055306028,4,72,-1.427472109,0.340206186
2024,2,Louisiana Monroe,-8.43581,20.70275,0.132848773,0.02230781,0.222053333,-0.171139382,7,86,1.008614329,0.35483871,29.13856,-0.153380794,0.194419318,-1.713164593,-0.115137035,3,79.16666667,-1.576052666,0.421875
2024,3,Louisiana Tech,-3.55337,23.57522,0.122355103,-0.174071657,-0.060464234,-0.062974376,6,80.75,1.246458035,0.328571429,27.12859,-0.054523099,-0.106106224,2.33401059,-0.173185189,3.5,79.71428571,-2.360269098,0.229508197
2024,2,Louisville,13.45438,34.89158,0.447815846,0.613292011,-0.119449003,0.343595107,4.6,73.13333333,5.244380542,0.571428571,21.4372,-0.041123455,-0.038235546,7.579159158,-0.188279527,5.25,77.5,-2.602082095,0.279661017
2024,3,LSU,11.78557,34.03289,0.525851629,-0.0042974,-0.177324713,0.197670832,5,72,5.044838764,0.479674797,22.24732,0.512165307,-0.046104054,0.967763009,0.081265068,5,74.75,-0.03457596,0.449152542
2024,2,Marshall,2.65428,29.24833,0.25286079,0.271160045,-0.063593628,0.124617799,4.727272727,73.35714286,1.360055009,0.433333333,26.59405,-0.043659688,0.040444728,13.85077048,0.04367876,3.777777778,71.25,-1.329077634,0.35
2024,3,Maryland,6.07419,28.07651,0.619318106,0.027920402,-0.057431697,0.209372511,5,72.5,3.848017375,0.458333333,22.00232,0.228231881,-0.078471529,-3.932415787,0.089967131,3.090909091,84.36363636,-1.599565146,0.369230769
2024,3,Memphis,12.56845,35.93948,0.354391528,0.300771871,-0.135055574,0.268863865,5.636363636,68.125,2.602639499,0.464912281,23.37103,-0.051100434,-0.095617416,5.794603797,-0.149031263,4.25,77,-1.895318038,0.350877193
2024,3,Miami,11.92672,36.81982,0.458738365,0.434428811,-0.110154839,0.490021643,5.466666667,81.22222222,4.874154786,0.524137931,24.8931,-0.209780623,0.185483639,-0.755767652,-0.105554427,4,72.5,-1.931852988,0.324074074
2024,3,Miami (OH),2.26183,26.59248,0.010310849,-0.145164702,-0.149567946,0.00590638,2,80.33333333,-0.633059939,0.389830508,24.33065,0.094348735,0.181337253,-3.124279344,0.136008766,2.6,66.75,-0.288554376,0.440677966
