market_line,true_line,cover_probability,push_probability,loss_probability
-18.5,-13.0,0.272312217822847,0.008774418977278002,0.7189133261009302
-18.5,-12.5,0.2700612564273568,0.008879858317192258,0.7210593646111783
-18.5,-12.0,0.2691662869841399,0.008752910845063511,0.7220808021698056
-18.5,-11.5,0.26886175096490417,0.008716965325285481,0.7224193025052607
-18.5,-11.0,0.26131729574535756,0.008521120120087041,0.7301615841345556
-18.5,-10.5,0.24112593421509332,0.00791704750354438,0.7509652984640435
-18.5,-10.0,0.2196389354152469,0.007241005799287757,0.773126773668877
-18.5,-9.5,0.20871491049404356,0.006867606406019806,0.7844015412164076
-18.5,-9.0,0.20548358287652554,0.0067402869731786105,0.7877432689739845
-18.5,-8.5,0.2035029292919139,0.006682027584797369,0.7897953598826284
-18.5,-8.0,0.19677282740932708,0.006465151812554324,0.7967620207780529
-18.5,-7.5,0.18213045947933698,0.005956174362629146,0.8119144044825464
-18.5,-7.0,0.16732032513843167,0.005449030991562204,0.8272306438700062
-18.5,-6.5,0.16024128166714366,0.005239046123656152,0.8345355067750505
-18.5,-6.0,0.1585022995362674,0.0051996778039021035,0.8363333208235744
-18.5,-5.5,0.1579077604147826,0.005148625155234631,0.8369848277099875
-18.5,-5.0,0.15733357757414806,0.005102417991673662,0.8375968656114803
-18.5,-4.5,0.15583360688584227,0.005083318013607738,0.839098345520065
-18.5,-4.0,0.15010194301894422,0.004937683775814492,0.8449603732042558
-18.5,-3.5,0.13825128821619717,0.004550717913439534,0.8571945264888249
-18.5,-3.0,0.126428536217401,0.004138902528711287,0.8694320766470758
-18.5,-2.5,0.12075068505977941,0.00393083339862579,0.8753206946734977
-18.5,-2.0,0.11918095847319556,0.0038722815321667516,0.8769539569987883
-18.5,-1.5,0.1184391136541958,0.0038559303514384795,0.8777233415244591
-18.5,-1.0,0.11842481597342017,0.00384493769903997,0.8777660265990654
-18.5,-0.5,0.11940063201088869,0.003820941049856377,0.8768313059022633
-18.5,0.0,0.11990082501004705,0.0037690219874227573,0.8763712339910663
-18.5,0.5,0.11870258584720209,0.003687194973398708,0.8775926598249787
-18.5,1.0,0.11728311926667999,0.0036217618732920617,0.8790188490961123
-18.5,1.5,0.11662899290332833,0.0035908844469756673,0.8796904078306205
-18.5,2.0,0.1130642120860623,0.003451876627934197,0.8834008866582272
-18.5,2.5,0.10373978062036922,0.003101049495567915,0.8930742416434871
-18.5,3.0,0.09377725852395916,0.002751550539327629,0.9034031059867139
-18.5,3.5,0.08863836321516193,0.0026168586199513733,0.9087355394242607
-18.5,4.0,0.0871748855025642,0.0025949416732755325,0.9102726307008778
-18.5,4.5,0.08686159022459704,0.0025452774317769613,0.9106317986616201
-18.5,5.0,0.08627506494881228,0.0024888937393960533,0.9112427535443581
-18.5,5.5,0.08432112062049135,0.0024599279301610365,0.9132063783634395
-18.5,6.0,0.08012063896671329,0.002383405186987928,0.9174959558462985
-18.5,6.5,0.07354490494345897,0.002195987166579169,0.9243048772007046
-18.5,7.0,0.0672517456405191,0.0019899935718950966,0.9308345678426737
-18.5,7.5,0.06383746092493676,0.0018650717277533828,0.9343472499275745
-18.5,8.0,0.06286569963895455,0.001794521400143153,0.9353402983599327
-18.5,8.5,0.06278476208017836,0.001728799725917775,0.9354632539796062
-18.5,9.0,0.0606142053924684,0.0016533408842161206,0.9377391686186175
-18.5,9.5,0.054455347663977284,0.001563917097521844,0.9440593340627728
-18.5,10.0,0.04816529391377355,0.0014626757194122215,0.9504144909208461
-18.5,10.5,0.04573167673917661,0.0013595436341163384,0.9527590131962754
-18.5,11.0,0.04590845211959346,0.0012891907173768898,0.9528023596481877
