Spread_Bin,Market_Total,True_Total,Over_probability,Under_probability,Push_probability
1,32.5,29.5,0.42255312,0.57744688,0
1,32.5,30,0.43592532,0.56407468,0
1,32.5,30.5,0.44939515,0.55060485,0
1,32.5,31,0.46294688,0.53705312,0
1,32.5,31.5,0.47656443,0.52343557,0
1,32.5,32,0.49023141,0.50976859,0
1,32.5,32.5,0.50393121,0.49606879,0
1,32.5,33,0.517647,0.482353,0
1,32.5,33.5,0.53136188,0.46863812,0
1,32.5,34,0.54505888,0.45494112,0
1,32.5,34.5,0.55872106,0.44127894,0
1,32.5,35,0.57233155,0.42766845,0
1,32.5,35.5,0.58587364,0.41412636,0
1,32.5,36,0.59933083,0.40066917,0
1,32.5,36.5,0.61268692,0.38731308,0
1,32.5,37,0.62592601,0.37407399,0
1,32.5,37.5,0.63903264,0.36096736,0
1,32.5,38,0.65199177,0.34800823,0
1,32.5,38.5,0.6647889,0.3352111,0
1,32.5,39,0.67741007,0.32258993,0
1,32.5,39.5,0.68984195,0.31015805,0
1,32.5,40,0.70207185,0.29792815,0
1,32.5,40.5,0.71408776,0.28591224,0
1,32.5,41,0.72587844,0.27412156,0
1,32.5,41.5,0.73743336,0.26256664,0
1,32.5,42,0.74874282,0.25125718,0
1,32.5,42.5,0.75979789,0.24020211,0
1,33,23,0.23871735,0.73621744,0.02506521
1,33,23.5,0.24911639,0.72529174,0.02559187
1,33,24,0.25977905,0.71411808,0.02610287
1,33,24.5,0.27069982,0.70270361,0.02659657
1,33,25,0.28187234,0.6910563,0.02707136
1,33,25.5,0.29328946,0.67918491,0.02752564
1,33,26,0.30494319,0.66709897,0.02795784
1,33,26.5,0.31682475,0.65480881,0.02836644
1,33,27,0.32892456,0.64232548,0.02874996
1,33,27.5,0.34123226,0.62966076,0.02910699
1,33,28,0.35373673,0.61682711,0.02943616
1,33,28.5,0.36642613,0.60383766,0.0297362
1,33,29,0.37928793,0.59070615,0.03000592
1,33,29.5,0.39230891,0.57744688,0.03024421
1,33,30,0.40547526,0.56407468,0.03045006
1,33,30.5,0.41877257,0.55060485,0.03062257
1,33,31,0.43218592,0.53705312,0.03076096
1,33,31.5,0.44569988,0.52343557,0.03086455
1,33,32,0.45929862,0.50976859,0.0309328
1,33,32.5,0.47296594,0.49606879,0.03096527
1,33,33,0.48668533,0.482353,0.03096167
1,33,33.5,0.50044004,0.46863812,0.03092184
1,33,34,0.51421312,0.45494112,0.03084576
1,33,34.5,0.52798752,0.44127894,0.03073354
1,33,35,0.54174614,0.42766845,0.0305854
1,33,35.5,0.55547189,0.41412636,0.03040174
1,33,36,0.56914777,0.40066917,0.03018306
1,33,36.5,0.58275691,0.38731308,0.02993001
1,33,37,0.59628267,0.37407399,0.02964334
1,33,37.5,0.60970868,0.36096736,0.02932396
1,33,38,0.62301891,0.34800823,0.02897286
1,33,38.5,0.63619773,0.3352111,0.02859117
1,33,39,0.64922997,0.32258993,0.0281801
1,33,39.5,0.66210096,0.31015805,0.02774099
1,33,40,0.67479661,0.29792815,0.02727524
1,33,40.5,0.68730341,0.28591224,0.02678435
1,33,41,0.69960854,0.27412156,0.0262699
1,33,41.5,0.71169986,0.26256664,0.02573351
1,33,42,0.72356595,0.25125718,0.02517687
1,33,42.5,0.73519617,0.24020211,0.02460173
1,33,43,0.74658066,0.22940949,0.02400985
1,33.5,23.5,0.24911639,0.75088361,0
1,33.5,24,0.25977905,0.74022095,0
1,33.5,24.5,0.27069982,0.72930018,0
1,33.5,25,0.28187234,0.71812766,0
1,33.5,25.5,0.29328946,0.70671054,0
1,33.5,26,0.30494319,0.69505681,0
1,33.5,26.5,0.31682475,0.68317525,0
1,33.5,27,0.32892456,0.67107544,0
1,33.5,27.5,0.34123226,0.65876774,0
1,33.5,28,0.35373673,0.64626327,0
1,33.5,28.5,0.36642613,0.63357387,0
1,33.5,29,0.37928793,0.62071207,0
1,33.5,29.5,0.39230891,0.60769109,0
1,33.5,30,0.40547526,0.59452474,0
1,33.5,30.5,0.41877257,0.58122743,0
1,33.5,31,0.43218592,0.56781408,0
1,33.5,31.5,0.44569988,0.55430012,0
1,33.5,32,0.45929862,0.54070138,0
1,33.5,32.5,0.47296594,0.52703406,0
1,33.5,33,0.48668533,0.51331467,0
1,33.5,33.5,0.50044004,0.49955996,0
1,33.5,34,0.51421312,0.48578688,0
1,33.5,34.5,0.52798752,0.47201248,0
1,33.5,35,0.54174614,0.45825386,0
1,33.5,35.5,0.55547189,0.44452811,0
1,33.5,36,0.56914777,0.43085223,0
1,33.5,36.5,0.58275691,0.41724309,0
1,33.5,37,0.59628267,0.40371733,0
1,33.5,37.5,0.60970868,0.39029132,0
1,33.5,38,0.62301891,0.37698109,0
1,33.5,38.5,0.63619773,0.36380227,0
1,33.5,39,0.64922997,0.35077003,0
1,33.5,39.5,0.66210096,0.33789904,0
1,33.5,40,0.67479661,0.32520339,0
1,33.5,40.5,0.68730341,0.31269659,0
1,33.5,41,0.69960854,0.30039146,0
1,33.5,41.5,0.71169986,0.28830014,0
1,33.5,42,0.72356595,0.27643405,0
1,33.5,42.5,0.73519617,0.26480383,0
1,33.5,43,0.74658066,0.25341934,0
1,33.5,43.5,0.75771039,0.24228961,0
1,34,24,0.23672924,0.74022095,0.02304981
1,34,24.5,0.24715488,0.72930018,0.02354494
1,34,25,0.2578467,0.71812766,0.02402564
1,34,25.5,0.26879909,0.70671054,0.02449036
1,34,26,0.2800056,0.69505681,0.02493758
1,34,26.5,0.29145895,0.68317525,0.0253658
1,34,27,0.30315103,0.67107544,0.02577353
1,34,27.5,0.31507292,0.65876774,0.02615934
1,34,28,0.3272149,0.64626327,0.02652183
1,34,28.5,0.33956646,0.63357387,0.02685968
1,34,29,0.35211634,0.62071207,0.02717159
1,34,29.5,0.36485254,0.60769109,0.02745638
1,34,30,0.37776236,0.59452474,0.02771291
1,34,30.5,0.39083244,0.58122743,0.02794014
1,34,31,0.40404879,0.56781408,0.02813712
1,34,31.5,0.41739686,0.55430012,0.02830301
1,34,32,0.43086155,0.54070138,0.02843706
1,34,32.5,0.4444273,0.52703406,0.02853864
1,34,33,0.4580781,0.51331467,0.02860723
1,34,33.5,0.47179762,0.49955996,0.02864242
1,34,34,0.48556918,0.48578688,0.02864394
1,34,34.5,0.49937589,0.47201248,0.02861163
1,34,35,0.51320067,0.45825386,0.02854547
1,34,35.5,0.52702634,0.44452811,0.02844555
1,34,36,0.54083567,0.43085223,0.0283121
1,34,36.5,0.55461144,0.41724309,0.02814547
1,34,37,0.56833653,0.40371733,0.02794614
1,34,37.5,0.58199398,0.39029132,0.0277147
1,34,38,0.59556705,0.37698109,0.02745186
1,34,38.5,0.60903927,0.36380227,0.02715846
1,34,39,0.62239453,0.35077003,0.02683544
1,34,39.5,0.63561712,0.33789904,0.02648385
1,34,40,0.64869179,0.32520339,0.02610481
1,34,40.5,0.66160383,0.31269659,0.02569958
1,34,41,0.67433907,0.30039146,0.02526947
1,34,41.5,0.68688398,0.28830014,0.02481588
1,34,42,0.69922568,0.27643405,0.02434027
1,34,42.5,0.711352,0.26480383,0.02384416
1,34,43,0.72325152,0.25341934,0.02332915
1,34,43.5,0.73491356,0.24228961,0.02279683
1,34,44,0.74632825,0.23142286,0.02224888
1,34.5,24.5,0.24715488,0.75284512,0
1,34.5,25,0.2578467,0.7421533,0
1,34.5,25.5,0.26879909,0.73120091,0
1,34.5,26,0.2800056,0.7199944,0
1,34.5,26.5,0.29145895,0.70854105,0
1,34.5,27,0.30315103,0.69684897,0
1,34.5,27.5,0.31507292,0.68492708,0
1,34.5,28,0.3272149,0.6727851,0
1,34.5,28.5,0.33956646,0.66043354,0
1,34.5,29,0.35211634,0.64788366,0
1,34.5,29.5,0.36485254,0.63514746,0
1,34.5,30,0.37776236,0.62223764,0
1,34.5,30.5,0.39083244,0.60916756,0
1,34.5,31,0.40404879,0.59595121,0
1,34.5,31.5,0.41739686,0.58260314,0
1,34.5,32,0.43086155,0.56913845,0
1,34.5,32.5,0.4444273,0.5555727,0
1,34.5,33,0.4580781,0.5419219,0
1,34.5,33.5,0.47179762,0.52820238,0
1,34.5,34,0.48556918,0.51443082,0
1,34.5,34.5,0.49937589,0.50062411,0
1,34.5,35,0.51320067,0.48679933,0
1,34.5,35.5,0.52702634,0.47297366,0
1,34.5,36,0.54083567,0.45916433,0
1,34.5,36.5,0.55461144,0.44538856,0
1,34.5,37,0.56833653,0.43166347,0
1,34.5,37.5,0.58199398,0.41800602,0
1,34.5,38,0.59556705,0.40443295,0
1,34.5,38.5,0.60903927,0.39096073,0
1,34.5,39,0.62239453,0.37760547,0
1,34.5,39.5,0.63561712,0.36438288,0
1,34.5,40,0.64869179,0.35130821,0
1,34.5,40.5,0.66160383,0.33839617,0
1,34.5,41,0.67433907,0.32566093,0
1,34.5,41.5,0.68688398,0.31311602,0
1,34.5,42,0.69922568,0.30077432,0
