Drive_Bin,Market_Total,True_Total,Over_probability,Under_probability,Push_probability
1,35.0,41.0,0.62901945,0.34871822,0.02226233
1,35.0,41.5,0.63903369,0.33893147,0.02203484
1,35.0,42.0,0.64896698,0.329239,0.02179403
1,35.0,42.5,0.6588126,0.31964708,0.02154033
1,35.0,43.0,0.66856402,0.31016179,0.02127419
1,35.0,43.5,0.67821491,0.30078901,0.02099608
1,35.0,44.0,0.6877591,0.29153439,0.02070651
1,35.0,44.5,0.69719066,0.28240335,0.02040599
1,35.0,45.0,0.70650385,0.27340107,0.02009508
1,35.5,25.5,0.31768357,0.68231643,0.0
1,35.5,26.0,0.32669777,0.67330223,0.0
1,35.5,26.5,0.33583634,0.66416366,0.0
1,35.5,27.0,0.34509498,0.65490502,0.0
1,35.5,27.5,0.35446912,0.64553088,0.0
1,35.5,28.0,0.36395395,0.63604605,0.0
1,35.5,28.5,0.37354441,0.62645559,0.0
1,35.5,29.0,0.38323521,0.61676479,0.0
1,35.5,29.5,0.39302081,0.60697919,0.0
1,35.5,30.0,0.40289547,0.59710453,0.0
1,35.5,30.5,0.41285321,0.58714679,0.0
1,35.5,31.0,0.42288788,0.57711212,0.0
1,35.5,31.5,0.43299312,0.56700688,0.0
1,35.5,32.0,0.4431624,0.5568376,0.0
1,35.5,32.5,0.453389,0.546611,0.0
1,35.5,33.0,0.46366609,0.53633391,0.0
1,35.5,33.5,0.47398667,0.52601333,0.0
1,35.5,34.0,0.48434363,0.51565637,0.0
1,35.5,34.5,0.49472974,0.50527026,0.0
1,35.5,35.0,0.50513769,0.49486231,0.0
1,35.5,35.5,0.51556008,0.48443992,0.0
1,35.5,36.0,0.52598947,0.47401053,0.0
1,35.5,36.5,0.53641836,0.46358164,0.0
1,35.5,37.0,0.54683922,0.45316078,0.0
1,35.5,37.5,0.55724453,0.44275547,0.0
1,35.5,38.0,0.56762676,0.43237324,0.0
1,35.5,38.5,0.57797842,0.42202158,0.0
1,35.5,39.0,0.58829204,0.41170796,0.0
1,35.5,39.5,0.59856023,0.40143977,0.0
1,35.5,40.0,0.60877566,0.39122434,0.0
1,35.5,40.5,0.61893111,0.38106889,0.0
1,35.5,41.0,0.62901945,0.37098055,0.0
1,35.5,41.5,0.63903369,0.36096631,0.0
1,35.5,42.0,0.64896698,0.35103302,0.0
1,35.5,42.5,0.6588126,0.3411874,0.0
1,35.5,43.0,0.66856402,0.33143598,0.0
1,35.5,43.5,0.67821491,0.32178509,0.0
1,35.5,44.0,0.6877591,0.3122409,0.0
1,35.5,44.5,0.69719066,0.30280934,0.0
1,35.5,45.0,0.70650385,0.29349615,0.0
1,35.5,45.5,0.7156932,0.2843068,0.0
1,36.0,26.0,0.30871748,0.67330223,0.01798029
1,36.0,26.5,0.31765521,0.66416366,0.01818113
1,36.0,27.0,0.32672172,0.65490502,0.01837325
1,36.0,27.5,0.33591288,0.64553088,0.01855624
1,36.0,28.0,0.34522426,0.63604605,0.01872969
1,36.0,28.5,0.35465121,0.62645559,0.0188932
1,36.0,29.0,0.36418881,0.61676479,0.0190464
1,36.0,29.5,0.3738319,0.60697919,0.01918891
