week,game,team,logo,last_update_api,model_prediction,market_line,market_price,cover_probability,edge,best_book,best_line,best_price,best_cover_probability,best_edge
7,Iowa@Wisconsin,Wisconsin,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,2025-10-06T14:07:03Z,5.5,3.5,-110,0.47632242,-0.04748710380952381,FanDuel,3.5,-105,0.47632242,-0.0358727019512195
7,San Diego State@Nevada,Nevada,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,2025-10-06T14:07:03Z,8,7,-105,0.48171617,-0.030478951951219524,FanDuel,6.5,-102,0.48171617,-0.023234325049504956
7,Nebraska@Maryland,Maryland,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,2025-10-06T14:07:03Z,8.5,6.5,-115,0.47173475,-0.06314897093023253,Fanatics,6.5,-110,0.47173475,-0.052074773809523855
7,Louisiana Tech@Kennesaw State,Kennesaw State,http://a.espncdn.com/i/teamlogos/ncaa/500/338.png,2025-10-06T14:07:03Z,3.5,6.5,-113,0.57112189,0.040605458075117395,FanDuel,6.5,-105,0.57112189,0.0589267680487805
7,Fresno State@Colorado State,Colorado State,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png,2025-10-06T14:07:03Z,6,6.5,-113,0.52164819,-0.00886824192488267,BetMGM,6.5,-105,0.52164819,0.009453068048780433
7,Miami (OH)@Akron,Akron,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,2025-10-06T14:07:03Z,13,10,-110,0.4471805,-0.07662902380952386,FanDuel,9.5,100,0.4471805,-0.05281950000000002
7,NA@Oklahoma State,Oklahoma State,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,2025-10-06T14:07:03Z,12,13.5,-105,0.54057613,0.02838100804878052,FanDuel,13.5,102,0.54057613,0.045526625049505
7,Washington State@Ole Miss,Ole Miss,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,2025-10-06T14:07:03Z,-33,-32.5,-110,0.49874924,-0.025060283809523853,BetMGM,-32.5,-105,0.49874924,-0.01344588195121954
7,Stanford@SMU,SMU,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,2025-10-06T14:07:03Z,-20,-19.5,-110,0.49660603,-0.02720349380952386,DraftKings,-18.5,-110,0.51234228,-0.011467243809523797
7,New Mexico@Boise State,Boise State,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png,2025-10-06T14:07:03Z,-17.5,-16.5,-113,0.49899939,-0.03151704192488264,FanDuel,-16.5,-110,0.49899939,-0.02481013380952385
7,Kansas@Texas Tech,Texas Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,2025-10-06T14:07:03Z,-13,-14,-110,0.45419476,-0.06961476380952386,DraftKings,-14,-110,0.45419476,-0.06961476380952386
