Total_Bin,Market_Spread,True_Spread,Cover_probability,NoCover_probability,Push_probability
3,-56.5,-51.0,0.40341934,0.59658066,0.0
3,-56.5,-50.5,0.39513945,0.60486055,0.0
3,-56.5,-50.0,0.38690594,0.61309406,0.0
3,-56.5,-49.5,0.37872231,0.62127769,0.0
3,-56.5,-49.0,0.37059201,0.62940799,0.0
3,-56.5,-48.5,0.36251843,0.63748157,0.0
3,-56.5,-48.0,0.35450486,0.64549514,0.0
3,-56.5,-47.5,0.34655453,0.65344547,0.0
3,-56.5,-47.0,0.3386706,0.6613294,0.0
3,-56.5,-46.5,0.33085611,0.66914389,0.0
3,-56.0,-66.0,0.654643,0.32984464,0.01551235
3,-56.0,-65.5,0.64672744,0.3376249,0.01564766
3,-56.0,-65.0,0.63874718,0.34547587,0.01577695
3,-56.0,-64.5,0.63070538,0.35339459,0.01590003
3,-56.0,-64.0,0.62260527,0.36137797,0.01601676
3,-56.0,-63.5,0.61445016,0.36942288,0.01612696
3,-56.0,-63.0,0.60624343,0.37752607,0.0162305
3,-56.0,-62.5,0.59798852,0.38568424,0.01632724
3,-56.0,-62.0,0.58968895,0.39389401,0.01641704
3,-56.0,-61.5,0.58134829,0.40215193,0.01649978
3,-56.0,-61.0,0.57297019,0.41045447,0.01657534
3,-56.0,-60.5,0.56455831,0.41879806,0.01664363
3,-56.0,-60.0,0.55611638,0.42717907,0.01670454
3,-56.0,-59.5,0.54764819,0.43559381,0.016758
3,-56.0,-59.0,0.53915753,0.44403855,0.01680392
3,-56.0,-58.5,0.53064824,0.45250951,0.01684225
3,-56.0,-58.0,0.52212418,0.46100289,0.01687292
3,-56.0,-57.5,0.51358925,0.46951484,0.0168959
3,-56.0,-57.0,0.50504735,0.4780415,0.01691115
3,-56.0,-56.5,0.49650238,0.48657898,0.01691864
3,-56.0,-56.0,0.48795827,0.49512336,0.01691837
3,-56.0,-55.5,0.47941893,0.50367074,0.01691033
3,-56.0,-55.0,0.47088827,0.51221719,0.01689453
3,-56.0,-54.5,0.46237021,0.5207588,0.01687099
3,-56.0,-54.0,0.45386862,0.52929163,0.01683975
3,-56.0,-53.5,0.44538737,0.5378118,0.01680084
3,-56.0,-53.0,0.43693029,0.5463154,0.01675431
3,-56.0,-52.5,0.4285012,0.55479857,0.01670023
3,-56.0,-52.0,0.42010387,0.56325747,0.01663866
3,-56.0,-51.5,0.41174202,0.57168828,0.0165697
3,-56.0,-51.0,0.40341934,0.58008723,0.01649343
3,-56.0,-50.5,0.39513945,0.58845059,0.01640996
3,-56.0,-50.0,0.38690594,0.59677468,0.01631939
3,-56.0,-49.5,0.37872231,0.60505585,0.01622184
3,-56.0,-49.0,0.37059201,0.61329053,0.01611746
3,-56.0,-48.5,0.36251843,0.62147521,0.01600637
3,-56.0,-48.0,0.35450486,0.62960642,0.01588872
3,-56.0,-47.5,0.34655453,0.6376808,0.01576467
3,-56.0,-47.0,0.3386706,0.64569503,0.01563437
3,-56.0,-46.5,0.33085611,0.65364588,0.01549801
3,-56.0,-46.0,0.32311404,0.6615302,0.01535575
3,-55.5,-65.5,0.6623751,0.3376249,0.0
3,-55.5,-65.0,0.65452413,0.34547587,0.0
3,-55.5,-64.5,0.64660541,0.35339459,0.0
3,-55.5,-64.0,0.63862203,0.36137797,0.0
3,-55.5,-63.5,0.63057712,0.36942288,0.0
3,-55.5,-63.0,0.62247393,0.37752607,0.0
3,-55.5,-62.5,0.61431576,0.38568424,0.0
3,-55.5,-62.0,0.60610599,0.39389401,0.0
3,-55.5,-61.5,0.59784807,0.40215193,0.0
3,-55.5,-61.0,0.58954553,0.41045447,0.0
